Level1,Level2,Level3,Level4,Federal,State,Local
North-East,NE-3,05115,NULL,111458.4488,128336.3343,29327.6770
North,N-5,05232,NULL,56518.9341,83987.5628,18405.6671
North-East,NE-2,05661,NULL,0.0000,0.0000,0.0000
Central-South,CS-3,05492,NULL,62077.0008,66173.1153,22902.4105
Central,C-8,05319,NULL,65722.2211,64912.6194,34595.6492
Central,C-7,05420,NULL,49618.3515,38503.1603,20451.8948
CLOSE,CLOSE,0538,NULL,NULL,NULL,NULL
Central-North,CN-6,05668,NULL,NULL,NULL,NULL
CLOSE,CLOSE,05481,NULL,NULL,NULL,NULL
North,N-5,05235,NULL,52304.0869,49271.9531,19390.1345
Central-North,CN-8,05148,NULL,65235.5716,24881.3426,20252.5338
CLOSE,CLOSE,05214,NULL,NULL,NULL,NULL
North,N-2,0523,NULL,792644.1491,704002.8571,359990.4732
Central,C-7,0598,NULL,41983.0759,51146.2563,16753.3618
North,N-3,05182,NULL,90116.8289,129022.1615,25732.9339
North-East,NE-4,05261,NULL,46661.2768,52697.2113,15305.2201
Central-North,CN-8,05230,NULL,37106.0949,60652.3340,10346.6287
South-East,SE-1,05428,NULL,64226.5601,73304.4400,34087.3401
E-COMMERCE,YAHOO,05987,NULL,499.0572,211412.4668,0.0000
North-East,NE-3,05436,NULL,66750.8487,58805.0111,21077.6489
North-East,NE-3,05543,NULL,50604.9152,45987.9337,17325.9626
DUMMY,DUMMY,05980,NULL,NULL,NULL,NULL
DUMMY,DUMMY,05887,NULL,NULL,NULL,NULL
South-East,SE-5,05363,NULL,35903.4288,34429.7909,15240.5430
Central-North,CN-7,05494,NULL,114151.5810,157853.2673,39427.0860
Central-North,CN-4,05586,NULL,31037.4292,30585.9048,11584.6861
Central-South,CS-2,05529,NULL,35011.0100,38553.3437,12432.7528
Central,C-1,05640,NULL,93941.2946,0.0000,32185.1519
CLOSE,CLOSE,05386,NULL,NULL,NULL,NULL
Central-North,CN-5,05511,NULL,0.0000,73966.0860,0.0000
Central-South,CS-2,05250,NULL,57457.3544,59589.1625,24830.6283
Central,C-2,05139,NULL,77979.5773,91982.1516,31503.9435
E-COMMERCE,7-11,05992,NULL,236382.4482,123399.1335,73954.3725
North-East,NE-6,05206,NULL,66610.8862,80327.4190,25399.4291
Central-South,CS-2,05268,NULL,45552.3714,46295.2286,19418.7813
Central-North,CN-8,05150,NULL,54082.4813,60123.8671,14239.0292
North-East,NE-5,0599,NULL,68189.9817,75765.4570,17923.2766
Central-North,CN-6,05299,NULL,56243.1154,55668.5431,23229.1534
CLOSE,CLOSE,05374,NULL,NULL,NULL,NULL
Central-South,CS-2,05244,NULL,40202.1903,43606.4288,13550.8569
Central,C-6,05415,NULL,16989.1144,30597.5999,5914.7812
Central-North,CN-5,05618,NULL,46084.3150,38096.5816,18835.5338
North,N-2,05399,NULL,54890.5716,54288.6590,15559.5145
DUMMY,DUMMY,05889,NULL,NULL,NULL,NULL
Central-North,CN-2,05495,NULL,34748.4908,48823.9435,7261.2099
Central-South,CS-2,05506,NULL,66044.0484,70382.1153,22174.3530
DUMMY,DUMMY,05917,NULL,NULL,NULL,NULL
Central-North,CN-5,05440,NULL,92845.2596,135702.8676,35621.6395
South-East,SE-4,05601,NULL,41830.7144,37374.5424,12007.7240
Central,C-6,05634,NULL,32592.7051,36612.1246,11007.6671
Central-South,CS-1,05579,NULL,27144.1908,41148.9047,7407.3147
North-East,NE-5,05272,NULL,95246.0511,124658.3626,28946.0488
Central,C-8,05452,NULL,44226.4105,46311.4671,18800.1247
Central,C-1,05670,NULL,NULL,NULL,NULL
North,N-4,05503,NULL,47680.1708,47378.0383,12478.0189
Central,C-7,05229,NULL,88050.9673,143009.5702,34049.0959
North,N-3,05138,NULL,85004.7234,151933.6203,28316.7146
DUMMY,DUMMY,05985,NULL,NULL,NULL,NULL
Central-South,CS-1,05538,NULL,34261.4722,38913.6094,9454.4006
South-East,SE-3,05294,NULL,55550.5530,61426.9817,12094.8386
North,N-4,05650,NULL,63227.3908,0.0000,20591.9620
Central,C-4,05485,NULL,63458.2107,54758.1524,32211.2013
Central-North,CN-3,05471,NULL,78499.5332,82745.1138,26735.5431
South-East,SE-5,05352,NULL,20205.8860,39381.7908,8303.8002
Central-South,CS-3,05376,NULL,108728.9821,98064.2188,44442.5622
South-East,SE-4,05292,NULL,35367.4573,35725.0859,8227.1050
Central-North,CN-7,05273,NULL,73507.8529,93569.2102,23797.5246
Central-North,CN-6,05168,NULL,29237.4383,47442.7524,9798.9240
Central,C-7,05571,NULL,31959.8475,46687.0953,10511.4005
North-East,NE-5,05455,NULL,91772.1616,98883.4679,27749.4774
North,N-1,05202,NULL,NULL,NULL,NULL
CLOSE,CLOSE,05458,NULL,NULL,NULL,NULL
Central-North,CN-1,05174,NULL,168737.9594,162202.3134,50776.0762
Central-North,CN-6,05461,NULL,60551.5722,81462.3628,16233.0573
Central,C-6,05483,NULL,74089.3764,66048.4954,24687.1908
North-East,NE-4,05264,NULL,57847.3618,64253.8376,20059.8862
Central,C-5,05212,NULL,80089.1998,90873.8484,22112.9241
Central,C-2,05143,NULL,72444.6286,54778.2101,30366.5239
DUMMY,DUMMY,05915,NULL,NULL,NULL,NULL
North-East,NE-2,05541,NULL,42329.2861,39923.0000,13493.0670
Central,C-1,05424,NULL,83536.6856,96170.9916,39483.6863
South-East,SE-4,05324,NULL,19391.3931,28246.2000,6669.5618
North-East,NE-6,05215,NULL,NULL,NULL,NULL
North-East,NE-3,05460,NULL,67972.8622,73886.5997,16949.7141
NULL,,99999,NULL,NULL,NULL,NULL
North-East,NE-5,05122,NULL,176124.7289,146463.4948,66082.7530
Central,C-4,05486,NULL,70901.3050,87248.7045,17702.9339
Central,C-2,05405,NULL,64109.2915,52757.2103,20906.5246
Central,C-5,0513,NULL,34466.3379,42383.3338,11124.6762
Central,C-7,0521,NULL,87962.8297,108982.7993,25833.1437
South-East,SE-4,05632,NULL,36700.8854,79246.6662,16333.3335
Central-North,CN-5,05226,NULL,56185.3383,46994.9151,24261.3718
Central-North,CN-7,05395,NULL,30432.2010,38657.6195,12287.3244
Central-South,CS-3,05577,NULL,49131.3794,70901.5627,17151.8672
North-East,NE-3,05491,NULL,79729.4137,68809.9343,24166.7142
North-East,NE-2,05354,NULL,157538.2582,182085.1440,41177.6962
Central-South,CS-4,05626,NULL,0.0000,32619.7059,0.0000
North-East,NE-5,05507,NULL,66607.1336,72735.9148,24181.1623
Central-South,CS-2,05544,NULL,45811.9055,47366.6009,18068.4007
North-East,NE-6,05660,NULL,0.0000,0.0000,0.0000
North-East,NE-6,05593,NULL,49338.7923,33341.9623,26031.1611
South-East,SE-6,05366,NULL,39516.3574,80539.6001,9613.6668
North-East,NE-3,05417,NULL,54568.1024,64595.8670,14544.9812
Central,C-7,05561,NULL,32791.3809,50329.0486,12489.8093
North-East,NE-7,0582,NULL,369348.7352,292387.8174,146395.9542
DUMMY,DUMMY,05983,NULL,NULL,NULL,NULL
South-East,SE-1,05595,NULL,60325.1434,33500.4571,23747.6484
South-East,SE-6,05205,NULL,39992.1763,45703.3537,11419.9053
North-East,NE-2,05187,NULL,78122.7253,80648.7339,21159.9342
Central-North,CN-1,05180,NULL,86339.5628,126532.4668,24146.5349
E-COMMERCE,FAMILY_MART_(FM),05970,NULL,44410.4854,67667.6191,14638.0001
South-East,SE-4,0560,NULL,116499.2332,151483.4391,48356.7238
CLOSE,CLOSE,05239,NULL,NULL,NULL,NULL
South-East,SE-1,05411,NULL,40657.6958,47182.2662,10775.2192
Central-South,CS-1,05638,NULL,22121.6100,28341.3531,11764.1333
Central-North,CN-3,05467,NULL,83595.9155,88438.8388,31956.4865
Central,C-4,05522,NULL,26070.4291,39780.0477,8823.0383
Central-South,CS-4,05317,NULL,0.0000,44703.9617,0.0000
North-East,NE-3,059,NULL,44023.0003,78443.3151,13563.3814
South-East,SE-3,05211,NULL,56820.9671,62048.8389,19090.6578
CLOSE,CLOSE,05362,NULL,NULL,NULL,NULL
CLOSE,CLOSE,05246,NULL,NULL,NULL,NULL
Central-South,CS-1,05402,NULL,39591.0377,36770.1245,10510.6385
North-East,NE-6,05606,NULL,44208.1437,36550.9345,15819.9337
North,N-4,0527,NULL,131668.4542,95693.6390,41634.0196
South-East,SE-3,05489,NULL,0.0000,131807.3622,0.0000
South-East,SE-4,05515,NULL,22986.5524,18173.9528,7638.3239
CLOSE,CLOSE,05523,NULL,NULL,NULL,NULL
North,N-2,05254,NULL,61670.0392,64708.7828,17622.5431
Central-South,CS-1,05397,NULL,38610.1246,42334.8482,9438.0383
Central,C-4,05176,NULL,34393.5245,37536.5913,13517.0767
North-East,NE-5,0551,NULL,84232.5104,98593.9064,22739.5622
North-East,NE-4,05642,NULL,70556.2529,0.0000,20182.1437
Central,C-3,05419,NULL,71073.1441,60169.0009,27274.7436
North-East,NE-5,05524,NULL,45450.1811,32680.0777,14845.6574
Central,C-3,0540,NULL,218817.4291,176189.9431,105508.3432
North-East,NE-5,05164,NULL,66162.9821,83050.3045,17676.6675
Central,C-6,05278,NULL,NULL,NULL,NULL
Central-North,CN-4,05500,NULL,110229.2956,97838.3434,28987.7524
Central-North,CN-2,05556,NULL,37994.1719,37924.3721,13126.0768
